Log file started Wed Mar 09 21:46:16 2011
Wed Mar 09 21:46:36 2011: updateBody z -3.820636
Wed Mar 09 21:46:36 2011: updateBody x 1.180213
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -4.037012
Wed Mar 09 21:46:36 2011: updateBody x 0.915754
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -4.301471
Wed Mar 09 21:46:36 2011: updateBody x 0.699379
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -4.517847
Wed Mar 09 21:46:36 2011: updateBody x 0.483003
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -4.734223
Wed Mar 09 21:46:36 2011: updateBody x 0.242586
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -4.974640
Wed Mar 09 21:46:36 2011: updateBody x 0.038231
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.178995
Wed Mar 09 21:46:36 2011: updateBody x -0.202186
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.419413
Wed Mar 09 21:46:36 2011: Client 1: read CMD_KEY (4)
Wed Mar 09 21:46:36 2011: updateBody x -0.449746
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.599276
Wed Mar 09 21:46:36 2011: updateBody x -0.755337
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.748322
Wed Mar 09 21:46:36 2011: updateBody x -1.065037
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.840060
Wed Mar 09 21:46:36 2011: updateBody x -1.368420
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.880002
Wed Mar 09 21:46:36 2011: updateBody x -1.708421
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.880002
Wed Mar 09 21:46:36 2011: updateBody x -2.031422
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.880002
Wed Mar 09 21:46:36 2011: updateBody x -2.354423
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.880002
Wed Mar 09 21:46:36 2011: updateBody x -2.660424
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.880002
Wed Mar 09 21:46:36 2011: updateBody x -3.017425
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.880002
Wed Mar 09 21:46:36 2011: updateBody x -3.323426
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.880002
Wed Mar 09 21:46:36 2011: updateBody x -3.646427
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.880002
Wed Mar 09 21:46:36 2011: updateBody x -3.952428
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.880002
Wed Mar 09 21:46:36 2011: updateBody x -4.275429
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.880002
Wed Mar 09 21:46:36 2011: Client 1: read CMD_KEY (6)
Wed Mar 09 21:46:36 2011: updateBody x -4.577662
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.832133
Wed Mar 09 21:46:36 2011: updateBody x -4.868686
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.737574
Wed Mar 09 21:46:36 2011: updateBody x -5.168889
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.577953
Wed Mar 09 21:46:36 2011: updateBody x -5.425142
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.381322
Wed Mar 09 21:46:36 2011: updateBody x -5.653537
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -5.152926
Wed Mar 09 21:46:36 2011: Client 1: read CMD_KEY (2)
Wed Mar 09 21:46:36 2011: updateBody x -5.825441
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -4.920611
Wed Mar 09 21:46:36 2011: updateBody x -5.977148
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -4.616333
Wed Mar 09 21:46:36 2011: updateBody x -6.071584
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -4.307447
Wed Mar 09 21:46:36 2011: updateBody x -6.111997
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -3.952742
Wed Mar 09 21:46:36 2011: updateBody x -6.111997
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -3.663742
Wed Mar 09 21:46:36 2011: updateBody x -6.111997
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -3.340742
Wed Mar 09 21:46:36 2011: updateBody x -6.111997
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -3.034742
Wed Mar 09 21:46:36 2011: updateBody x -6.111997
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -2.728742
Wed Mar 09 21:46:36 2011: updateBody x -6.111997
Wed Mar 09 21:46:36 2011: updateBody y 5.000000
Wed Mar 09 21:46:36 2011: updateBody z -2.371742
Wed Mar 09 21:46:37 2011: updateBody x -6.111997
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z -2.065742
Wed Mar 09 21:46:37 2011: updateBody x -6.111997
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z -1.759742
Wed Mar 09 21:46:37 2011: updateBody x -6.111997
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z -1.419742
Wed Mar 09 21:46:37 2011: updateBody x -6.111997
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z -1.079742
Wed Mar 09 21:46:37 2011: Client 1: read CMD_KEY (10)
Wed Mar 09 21:46:37 2011: updateBody x -6.058686
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z -0.761172
Wed Mar 09 21:46:37 2011: updateBody x -5.953526
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z -0.455769
Wed Mar 09 21:46:37 2011: updateBody x -5.799404
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z -0.171911
Wed Mar 09 21:46:37 2011: updateBody x -5.600544
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 0.082616
Wed Mar 09 21:46:37 2011: updateBody x -5.384169
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 0.298990
Wed Mar 09 21:46:37 2011: updateBody x -5.155773
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 0.527386
Wed Mar 09 21:46:37 2011: Client 1: read CMD_KEY (2)
Wed Mar 09 21:46:37 2011: updateBody x -4.960757
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 0.805898
Wed Mar 09 21:46:37 2011: updateBody x -4.826616
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 1.080929
Wed Mar 09 21:46:37 2011: updateBody x -4.734879
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 1.390628
Wed Mar 09 21:46:37 2011: updateBody x -4.695516
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 1.711221
Wed Mar 09 21:46:37 2011: updateBody x -4.695516
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 2.051220
Wed Mar 09 21:46:37 2011: updateBody x -4.695516
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
