Log file started Tue Mar 08 20:55:08 2011
Tue Mar 08 20:55:08 2011: WSAStartup OK
Tue Mar 08 20:55:08 2011: Server's information: IP address: 127.0.0.1, port: 30004
Tue Mar 08 20:55:08 2011: No net interface given, using any interface available
Tue Mar 08 20:55:08 2011: No port defined, picking one for you
Tue Mar 08 20:55:08 2011: Opening UDP port = 1523
Tue Mar 08 20:55:08 2011: CArmyWar::Connect
Tue Mar 08 20:55:26 2011: LIBRARY: Client: got connect confirmation
Tue Mar 08 20:55:26 2011: LIBRARY: Client: adding a client
Tue Mar 08 20:55:26 2011: App: Client: Adding client with index 1
Tue Mar 08 20:55:26 2011: App: Client: Adding first client
Tue Mar 08 20:55:26 2011: App: Client: This one is local
Tue Mar 08 20:55:27 2011: Reading NONDELTAFRAME for client 1
Tue Mar 08 20:55:36 2011: Prediction rot error for frame 5:     -0.000000, -0.000003

Tue Mar 08 20:55:36 2011: Prediction error for frame 11:     0.000000, -0.000022

Tue Mar 08 20:55:36 2011: Prediction rot error for frame 11:     -0.000000, -0.000003

Tue Mar 08 20:55:36 2011: Prediction error for frame 16:     0.000000, -0.000019

Tue Mar 08 20:55:36 2011: Prediction rot error for frame 16:     -0.000000, -0.000003

Tue Mar 08 20:55:36 2011: Prediction error for frame 22:     0.000000, -0.000023

Tue Mar 08 20:55:36 2011: Prediction rot error for frame 22:     -0.000000, -0.000003

Tue Mar 08 20:55:36 2011: Prediction error for frame 27:     0.000000, -0.000019

Tue Mar 08 20:55:36 2011: Prediction rot error for frame 27:     -0.000000, -0.000003

Tue Mar 08 20:55:36 2011: Client 1: Read key 0
Tue Mar 08 20:55:36 2011: Prediction error for frame 33:     0.000000, -0.359558

Tue Mar 08 20:55:36 2011: Prediction rot error for frame 33:     -0.000000, -0.000003

Tue Mar 08 20:55:42 2011: Client 1: Read key 1
Tue Mar 08 20:55:42 2011: Prediction error for frame 0:     0.000000, -0.272003

Tue Mar 08 20:55:42 2011: Prediction rot error for frame 0:     -0.000000, -0.000003

Tue Mar 08 20:55:42 2011: Prediction error for frame 6:     0.000000, -0.336197

Tue Mar 08 20:55:42 2011: Prediction rot error for frame 6:     -0.000000, -0.000003

Tue Mar 08 20:55:43 2011: Prediction error for frame 11:     0.000000, -0.000019

Tue Mar 08 20:55:43 2011: Prediction rot error for frame 11:     -0.000000, -0.000003

Tue Mar 08 20:55:43 2011: Prediction error for frame 17:     0.000000, -0.000023

Tue Mar 08 20:55:43 2011: Prediction rot error for frame 17:     -0.000000, -0.000003

Tue Mar 08 20:55:43 2011: Prediction error for frame 22:     0.000000, -0.000019

Tue Mar 08 20:55:43 2011: Prediction rot error for frame 22:     -0.000000, -0.000003

Tue Mar 08 20:55:43 2011: Client 1: Read key 5
Tue Mar 08 20:55:43 2011: Prediction error for frame 28:     -0.000003, -0.000019

Tue Mar 08 20:55:43 2011: Prediction rot error for frame 28:     0.000001, -0.000003

Tue Mar 08 20:55:43 2011: Prediction error for frame 33:     -0.000010, -0.000011

Tue Mar 08 20:55:43 2011: Prediction rot error for frame 33:     0.000003, -0.000002

Tue Mar 08 20:55:43 2011: Prediction error for frame 39:     -0.000007, -0.000019

Tue Mar 08 20:55:43 2011: Prediction rot error for frame 39:     0.000001, -0.000003

Tue Mar 08 20:55:43 2011: Prediction error for frame 44:     -0.000006, -0.000017

Tue Mar 08 20:55:43 2011: Prediction rot error for frame 44:     0.000001, -0.000003

Tue Mar 08 20:55:43 2011: Client 1: Read key 4
Tue Mar 08 20:55:43 2011: Prediction error for frame 50:     -0.000008, -0.000019

Tue Mar 08 20:55:43 2011: Prediction rot error for frame 50:     0.000001, -0.000003

Tue Mar 08 20:55:43 2011: Prediction error for frame 55:     -0.000010, -0.000008

Tue Mar 08 20:55:43 2011: Prediction rot error for frame 55:     0.000005, -0.000000

Tue Mar 08 20:55:43 2011: Prediction error for frame 61:     -0.000010, -0.000011

Tue Mar 08 20:55:43 2011: Prediction rot error for frame 61:     0.000002, -0.000002

Tue Mar 08 20:55:44 2011: Prediction error for frame 3:     -0.000009, -0.000011

Tue Mar 08 20:55:44 2011: Prediction rot error for frame 3:     0.000002, -0.000002

Tue Mar 08 20:55:44 2011: Prediction error for frame 8:     -0.000009, -0.000010

Tue Mar 08 20:55:44 2011: Prediction rot error for frame 8:     0.000002, -0.000002

Tue Mar 08 20:55:44 2011: Client 1: Read key 6
Tue Mar 08 20:55:44 2011: Prediction error for frame 14:     -0.000010, -0.000006

Tue Mar 08 20:55:44 2011: Prediction rot error for frame 14:     0.000004, 0.000001

Tue Mar 08 20:55:44 2011: Prediction error for frame 19:     -0.000008, -0.000002

Tue Mar 08 20:55:44 2011: Prediction rot error for frame 19:     0.000003, -0.000001

Tue Mar 08 20:55:44 2011: Client 1: Read key 2
Tue Mar 08 20:55:44 2011: Prediction error for frame 25:     -0.000010, -0.000002

Tue Mar 08 20:55:44 2011: Prediction rot error for frame 25:     0.000003, -0.000001

Tue Mar 08 20:55:44 2011: Prediction rot error for frame 30:     0.000004, 0.000000

Tue Mar 08 20:55:44 2011: Prediction rot error for frame 36:     0.000004, 0.000000

Tue Mar 08 20:55:44 2011: Prediction rot error for frame 42:     0.000004, 0.000000

Tue Mar 08 20:55:44 2011: Prediction rot error for frame 51:     0.000004, 0.000000

